puzzle,ans
读时是一用时是二,乙
童子头顶一石臼,舅
半边红日蓝空中,蕴
放学之后,孜
关闭闸门开东口,匣
你我各一半互相来征战,伐
忽必烈,玩
从右往左看是一家之长从左往右看是一国之君,住
人卧西楼烛已冷,蛛
无心惹他也枉然,偌
点点滴滴左右开弓,弱
日落江边一抹斜,泊
唐王一去不复返,塘
为皇后网开一面,再
有草是青色有水是绿色,仓
左边九百九十九右边九十九,伯
草堆下面两只狗,获
甘愿饿肚子,廿
排好之后整上来,嫩
月月亏损不对头,粥
吃一半拿一半,哈
靠前空出一半,窖
三山倒挂二月相连上有可耕之田下有流水之川一家六口两口不全,用
学上段觅下段,觉
千字头木子腰太阳出来从下照人人都说味道好,香
古稀之年不停步,连
人人动口,两
三十而立,莘
人有它变大天没它变大,一
日日有余月月不足,門
送去云长迎来孟德,遭
个个骂不还口,笃
十八加一,杜
一并颠倒,共
南方之夜,名
莫要动手,摸
不止一横,歪
一个字八个头里面有水不外流,井
办错了两点,为
十口之间有我一半,哉
有口一世不露头,喋
杜鹃啼了暗无声,明
逃之夭夭,兆
粗心看成二十四,蔑
用力刮一千下,别
一字九横六直天下书生难识颜回去问孔子孔子猜了三日,晶
非机器生产,扛
有目看不见日出还昏暗树旁制饮料有水如雾烟,蒙
一举而成,血
街头街尾,行
风中点残烛,蚁
人人见了笑,关
亏本一一消除,朽
要一直反而曲,由
一直结为同心人,束
元宵前后共团圆,期
呆会他也去,保
大字去一半,宏
再添一个便是老兄,可
断剑在手,捡
成心换上小字,戚
情海半生不知悔,清
涧中落日映倒山,润
失宠之后锁双眉,穴
一来就是三口人,圆
后生小子,孙
四方团结添后劲,男
一直到黄昏,殖
天子欲开三面网,匡
足下携一家前来,定
同心改革向前进,向
此字比一多一横不能把二猜,些
不用言请人自来,倩
后扣一百分,啪
一夜出名成歌后,吹
岁岁除夕花前会,茁
用心出尽犹出错,冈
秋分之后夜又长,香
三前五后,一
看看心里平其实跳不停,怦
四方归客心连心,惫
过去十分了得,辽
用力一点小心跌倒,勇
落草之后得天下,莫
来日就业到山西,一
前客后客共八人,容
三星落户到上海,沪
向空中撒大米,奥
冠军亚军心相连,懿
携刀进寺庙,杀
双联开关,聂
水少也有鱼,鲨
接口就问有耳共闻,门
八大王集合,美
纵横天下二十载,奔
放上白的变成黑的,七
横看是个三竖看是个三三三不得九光见四个口,田
来往不逢人,起
加一等于四,匹
二十比二十,琵
行乐须及春,栎
如要吵双方都出去,妙
半边印盒,命
天下大变,无
森林,楷
一见再见,冉
作品一一调整,唱
不左不右朝前走,肿
一人提刀月下走,逾
变革后要大上,奕
看文字一是春秋论年代一半在春秋,秦
拉到里边来,撞
山顶一只鸟缩脚看海潮,岛
上下都是草中间活不了,葬
七百减一,皂
一刀刺去鲜血点点,枣
摩托被窃,轶
人要齐心点,仪
主动献血,盖
要负责到底,婴
恨少无多,慨
该女正在争取中,妻
第四个发言,订
勿落最后,易
传言不可信,专
宝玉出游到园中,完
为宁波出力,勇
品茶之后游东湖,澡
美国小姐,要
水多一点,永
萤火虫飞走了,荧
一来就转正,止
去有来没有走有停没有坐有站没有地有天没有,土
削减势力,执
离开台北到北京,弃
三班值勤不见一人,矗
春来蝴蝶东飞去,蠢
失败后再来一次,资
争取两点前联合,净
东湖垂钓钩,甩
一旦托付与先生,得
变相搜索,查
同是宦游人,管
良心没一点休作恳字猜,恨
工中添一点不作玉字猜,虹
秋凉一夕人离去,歼
倒数第一数空前,宙
一车停在拐弯处,轧
江畔孤舟溅浪花,沁
出手不易,摊
又得十分,对
正喝半杯便倒,歪
把握重点不得夸大一点,污
木字加一撇莫当禾字猜,朱
猜谜之前大聚会,狱
翻开日记写心得,惜
横竖还有一斤米,断
两点半钟,冲
时晚明朝去星月来相伴,博
一到上海,中
十两一斤,芹
岁末恰逢周末,名
问得直接一点,闽
年已古稀去栽树,载
寒冰消融柳初生,寨
两人下棋不分高低,抨
上边两个加下边一个加,茄
三月一直看柳色,青
横竖要见到真人,俱
双方合作出劳力,营
一对明月完美无缺躲在山下左右分裂,崩
树旁站著两个人,來
分析成立,新
唾手可得不必多嘴,捶
区字转变真可怕,凶
来日生女称妙香,秒
不足之处,外
春节三日去游山,仙
一撇又一横关系好得很,友
人前背后要一致,有
左边半弯右边不短左右一起射箭方便,张
半剪花絮,茹
曾经有财但无才,赠
两个小西瓜,瓢
花甲之年献赤心,辛
夫人外出儿归来,元
盖下藏一夫,実
如有变化再等一天,娱
山西一日游,业
一字之师,帅
王家有女正长成,娃
不容他人在其侧,则
雪落横山,雨
八斤不足六斤有余,兵
文中有点改动,蚁
添一笔不好加一倍不少,夕
二人为股东,役
一去上边即就业一去下边就转业,亚
献点爱心带好头,安
绝妙女色要不得,纱
两座横山背背相连,王
误入歧途,赵
一月二十日大团圆,膜
不出头后不成字,杯
此谜无人猜中,仲
个个参加运动会,云
岁末时晚壮士归,将
古灯火已灭,登
走四方,儿
春节三人聚首,最
买卖实在,头
有田种有树栽有衣穿,裸
元旦倾心会知音,脂
元旦休息二天,兀
小姐冒雨而立,霎
岁末年尾爱出头,舜
差点着迷有点着迷,述
而立之年贡献大,奔
四方同心力无边,逼
农家儿女多淳朴,飨
甜咸苦辣各味俱备,口
希字没有错,布
小桥流水有几多,沉
推开又来,摊
个个不沾油水,笛
个个汗水直流,竺
国内改革知多少,坑
挖左边补右边,扑
休要多嘴,保
枕边开口直表真心,框
五上南京,戚
上下均可,哥
双双离开,罢
劝阻老子,耻
枕畔一聊过五更,耽
出了点子国容改,呈
写是一条大虫其实是小虫不在景阳冈只住桑园中,蚕
一米不是米招手到这里,来
一月又一月两月共半边上有可耕之田下有流水之川一家有六口两口不团圆,用
立即成亲,木
中国上空,宝
背上变黄,冀
黑字去掉下面,墨
画有写没有留有走没有,田
三人跨日冬已去,春
夜里有白天无死了有活着无多则两个少则没一个,夕
萝卜外销出东都,薯
两个幼童去砍柴没有力气砍不来回家又怕人笑话躲在山中不出来,幽
匠心独运借箭回,医
心无一点变化,忧
作文入门靠用心,悯
仲冬,肚
拔掉龋齿抛屋后,属
滥砍松木上言控诉,讼
要它背弯曲,马
五位老头围炉边,烤
为何无人也同意,可
才加一捺不猜木字,架
双方使劲,咖
父亲七十多一点,较
水乡面貌改一人爱在前,溪
一一另作安排,吾
双双携手一同去,摆
支出减少一半,岐
点滴改革见成果,单
一张弓箭,引
为了保米粮两边打上墙大水到墙根米粮未损伤,渊
西安一住三星期,醋
存心必怕,具
旭日升空,九
后来者居上,屠
笔直一座桥上立一头牛,生
人民币一次存入,羡
遇水立成河,可
里放一半外存一半,在
一气之下离西洋,氧
河水流向东部,阿
二人骑马双星伴月,腾
合目小睡,屯
走自己的道路,途
两点十分来游园,尊
移出多迁入少,秒
课前不见课后见,果
拉到娘前,接
中国改革人人拥护,往
来日全无人,旺
由字加了一直莫作曲字来猜,邮
拆除南边两堵墙,幸
前无古人下笔成文,做
明明七成白偏说全都黑,皂
用刀削竹签,剑
顺看斤一两倒看正一斤,丘
小山上落大鸟神枪手打掉脚,岛
不坐了我要走,起
一点一横长一撇跨过墙破田不装水田里水湾湾,康
地方话,访
访得其人无须多言,旗
拣一半倒一半,抹
左边有撇产米粮右边无撇是太阳,粕
六一前夕来相会,产
林字去一半不作木字猜若是猜不着请你想朝代,宋
换位作陪,部
一丝不挂难遮丑,纽
每到人前总受欺,侮
一门及格,问
出勤不出力只说不兑现,谨
三八晚会,萝
掘地去土添水成池,也
角落头,用
无力守边溃如流水,遗
上面是十两下面也是十两上下合起来却有二十斤,芹
人口多一点,吠
二尺二,封
我被压在山下面,岂
四化早日腾飞,克
知音十月又相逢,肢
古稀之年垂钓钩,轧
少加一半就不好,劣
失之交臂,文
复习一番,翻
给西服钉个扣,捐
本来就不聪明,竹
毛头姑娘十八变,委
雾中点点透寒意,冬
上面六有多下面四有余,益
孟子出游乘船归,盘
三人合守一方,吸
上下一条横,卡
我家有只狗时常跟人走此字要猜着等到黄梅后,伏
西去此潭水已无,早
北字穿个眼上下廿四点,燕
要写只有四笔又无横来又无竖将军见他要下马皇帝见他要作揖,父
安得一日共图醉,宴
四老头二十日相聚,薯
手携千金费叮咛,按
开口还要走,否
去头是个字去尾也是个字头尾都去掉仍然是个字,王
羊年会有好开端,妹
一点来成交,交
有女十八媒自来,甘
陕西人十分好,附
山区变样已翻身,岗
以小欺大,尖
马踏木桥断,骄
翻转一看是瓜子,孤
二十四口,噩
尽可能省点再省点,尺
主动奉献一点爱心,宝
复来北京投远亲,粒
今后还要用点心,怜
一下就回,同
闯出们再戴帽子,写
迎头赶上得一百分,迟
有女长大美姿容,羡
从来有过后无今天有明日无,人
得水便湿,显
星月小桥听萧声,宵
十加上二,王
雨后又见月当头,霄
浪费点滴亦有错,齐
写时口要合念他口张开平时不露面你笑它准来,哈
开门无犬吠不知对不对,问
梅雪争春不肯降,皆
云长最先到跟前,蹋
八千女鬼,魏
转眼斜阳下竹荫,箩
又添五双手,技
一一隆起,降
少点主见,现
有山就像墙壁有人就像靓女走来还可走去有手带点东西,肖
握手告别,屋
鸡鸣鸟尽飞,叹
塘边取土不对头,糖
乡下变了样全省大翻身,缈
月缺花残鸟不鸣,呢
加一笔找不到少一笔天上飘,去
初一无月照客舟,逆
田里跑到田外不作古字猜,叶
一月零三个星期,腊
旅行坐飞机,辈
一落千丈,仗
干部结构要调整,障
见到右邻觉陌生,百
人生难得一相逢,朱
尽是男人,妩
岁末星沉一画中,鱼
签下合约三十天,脸
一见就爱上,觅
整理小本本,禁
激情释放无须怕,清
白玉无瑕合君意,皇
抛多一点变了形,势
山下月弄影,崩
暗香夜夜来,移
元旦前后方来人,吴
千万别后悔,惊
一横二直又三点,变
除夕即是岁末,多
除夕看春联,梦
抓住一点机遇,杭
重阳重九两难分,果
穷乡面貌改,窈
提前十分送出关,挝
楼头几度寄芳心,杭
吃尽苦头不后悔,怙
春香去后琴声在,秦
两点结束请看信,柬
雾中西湖如少女,洛
江边曲径引人至,汲
品茶无人把水添,藻
一生执教育后人,帅
出师后势如山倒,归
启动之后传佳音,加
八点九点十点,染
嘴上长着四撮胡须,谷
站在树梢上,亲
老两口一见就喜爱,嗜
抢先别落后,拐
马尾羊头自相连,首
登上天门闻雀声,阕
人一高兴就先笑,签
好像不对头就是不对头,米
只对一半,叹
断一半接一半连起来还是断,折
朽木没用上头有洞稍一加工又变成洞,窍
一天到晚,免
一对枕头,林
有一天会明白,尧
不置可否,口
土生土长西安女,娃
陕西省西安人,侠
看似闭着嘴其实乐开怀,哈
去年已入此门中,闯
火见它就灭请别把水猜,一
别夸大,亏
先写上半截后写下半截,告
刘备有张飞有曹操有人人都要有,德
看看像母叫叫像父越看越像母越叫越像父其实不,毋
上下一条心,卡
落汤鸡,酒
小羊小羊尾巴长偏偏骑在牛身上,羞
一个字两个手浑身是口歌不离口,曲
元宵十五日,月
来日芬芳,禾
真心不二到白头,百
闹市散罢天放晴,间
东邻吹竹笛,邮
学上边会下边若不信试试看,尝
有个字真特别谁看都是一万撇,厉
和尚身上一条巾,常
又要随船走远方,般
三日当中只有一日有空,唱
多一撇难寻找,去
背后左右点火,脊
除非减一才能得零,韭
无火不生烟,因
不许喧哗,躁
乡下改革有后劲,幼
两手一抱行大礼,拜
一直不用靠旁边,膀
横竖在工作中,正
半途而废不足取,叙
出丑之后便知羞,羊
一颗闲心两个耳朵,椰
家和就要不多口,稼
岱山归去日西沉,黛
上头又完成,寇
双方因犬生悲剧,哭
个个都要管,官
共守球门,典
共赏残月又几回,殿
会散人去,云
一尺只有八寸长,咫
差一点猜中,虫
工厂联合面貌新,硂
数数仅三笔算算有万万,亿
出口成衣,哀
古城改造要搬迁,吧
悲声不在楼头放,杯
一十二点不是斗猜平也是不对头,半
一来就成王,城
虚心求是,匙
冷雨飘零中,冲
春游两天,大
山山倒影一川横,带
时差一天,寸
寂寂空门白头人,待
分开是土合起来也是土,堤
两口儿相会在黄昏,酉
昨夜船儿浪里行,怎
夜泊未遇李青莲,液
短处一点一点克服掉,知
两人闯入七星阵,淡
小桥会兄,党
孤帆一片日边来,吊
木在口中栽非杏亦非呆当做困字看不算猜出来,束
拿生命打赌,毙
无心留恋也如意,亦
二十一日有金钱,错
字字去了盖莫当子字猜,一
择吉日命女结婚,纸
有人来存款,诸
葡萄园里摘葡萄,元
欲动而力不足,云
来点刁还要更刁点,羽
两个配合投篮篮下紧盯防守,监
从前点滴要记住,箭
亭台上下共明月,膏
功力不足,工
夺头功又是半边天,努
打乱章法,培
多一点能下锅少一点能烧火,术
赵后虽可爱君迷必有害,钱
西线有战事,绒
一来就收徒弟,帅
漂亮话引人上当,诱
浊浪排空隐山峰,蜂
劳力不足双方支援,营
搬走石头给人方便,硬
生来好胜,月
进门不要说话,阅
人一高兴留个影,签
连日晚点,兔
一脚迈进水草中,踏
秋后分别岁末重逢,移
七十乘以六,较
花草凋日三春去,伦
一旦有心永不变,恒
岁岁花前草初生,茁
若一不在立即变坏,坯
一到山西就下雨,湿
游子方离母牵挂,海
少夫人去堂后,坛
人要虚心一点,龙
一大一小把手牵,捺
案中发现另一案,始
异乡爱上一姑娘,绥
宝玉不见刀刺心,宓
情人相会特开心,倩
全省人口向西移,程
改革旧貌得第一,甲
红粉不知愁,嬉
如去一口仍少一人,奶
小桥流水出凡尘,沉
视而不见就坐下,社
酒后公文看走样,酸
白加黑,七
柳畔花前人相会,茶
七星对残月,溺
改变困境人为先,保
言多必失,吴
闲来出门垂钓钩,札
残席撤下又摆上,度
人人奉献一点热,伏
一弯明月落江边,漕
成功来自凝聚力,工
倾心携手定有日,指
岁末年尾增友爱,舜
山影连绵碧空上,础
湖中倒影月相随,朝
溪边横山带影连,汪
街头积土十分厚,待
职务调动才放心,聪
交错而行,六
就这一个字写不好,孬
聚散之后又相逢,聂
一夜走红不寻常,殊
山水之中半展帆,刷
三口巧安排莫当品字猜,亘
工厂开工要招人,仄
春夜上香听琴声,秦
苦心随日长,早
他有你有全都有,人
天下无人出其上,击
宁波附中,俑
毕业之后又相逢,圣
百变之后还是我,自
人口翻一番,徊
哥哥一变就惊人,噩
负负得正一一相加,王
衣裳破了有人补,倘
字猜对一半,狩
三三两两能言语,计
春末夏初来集中,旦
欲去西边又见喜,欢
真心不二人可靠,奇
二人约会在西堤,去
倾心相逢明月下,昆
入夜梦见黛玉来,林
冥冥之中天意在,晶
晚节不保后患多多,蕊
两人一走接连出错,网
北宋虽亡南宋在,林
突破包围圈自有人接应,伟
两口添丁乐滋滋,呵
万万不见人只知第二名,乙
老人七十不见老,华
汉奸改装尽奴相,汗
一直戒掉了,戎
下岗后人消瘦,仙
半是浓妆半淡妆,汝
修旧如旧,古
携手来听读书声,予
翻开日记已黄昏,醋
塞上日出云半遮,宣
二者勾心又搞鬼,魂
古稀之年变化多,轮
仁义二字抛一旁,仪
有人告诉就懂得,会
有口才连升两级,团
这边唱来那边和,口
本来旧貌换新颜,桓
七上八下是幻觉,练
分赃一半仍是穷,贫
夫人有了二手车,撵
见水污浊把手摇,军
闻声知是孟尝君,文
井边无力朝前走,进
五一请个假,奉
湖光水月西施女,姑
变化大了,队
移花接木后古代女英雄,兰
不见他人传野闻,也
到了三十放一月,葫
百度一下就明了,白
派头有点大,汰
人人结交用真心,俸
城头一同赏日出传来犬叫声,旺
马上动土不好看,丑
生子当如仲谋也,小
正数三个二倒数两个三,奉
大哥可否派人来,倚
大人走了声音依在,一
钱少毕竟还是钱,钞
爱美之心多点点,宝
加加减减得十八,桂
一一补足就对了,是
五线谱上写个字,奉
转业一日就升级,晋
一一出园会双双,四
比二多一半,死
豹子头夜入南柯,梦
看上去不多,省
须前取景拍照片,影
七七鹊桥接两岸,互
酒水喝完客散去,一
长刀破日还,归
退休之后留下来,佃
别后一隔四十载,荆
说不清楚教人猜,谜
一直真心相交,王
五点一直到开封,汴
失散的孩子无人认,该
古物勿要丢,牯
男献爱心女献芳心,亭
左右开弓不对头,粥
一笔写就成千言,信
来日会宴,安
加入内框外框破,画
出门便闻犬吠声,润
四时山中闻清音,卿
一大一小不松手,捺
以军提前撤军,拟
动机不纯,杂
贪钱被砍头模样像个贼,贱
海上卷来浪拍门,沪
江边集合,洽
西湖半醉黄昏雨,酒
四方称王名声恶,噩
贪色足以上绝路,络
人残心不残,必
早上一别心长悬,悼
短处一点一点摆出来,知
一下变成两粒丹,丽
一见是老鼠,了
冥冥之中有天意,日
见虫称知了,单
说话十分体贴,谢
晴雯错把芳心许,文
三点演出扮伯虎,寅
种菜除草,采
啤酒厂出酒,碑
小心一点又没错,对
三人相遇逢秋雨,秦
三只狡兔,究
形状有点变音同字不同,彤
双方见面就是哭,犬
养在深闺人未识,姓
春日人去犹怀旧,旺
不到三分之二,丕
样子难看扭头就走,丑
歌后后台说大话,吹
不负前言,证
大江东去又一春,潜
一来就干跑买卖,十
其言有诈怎敢放心,乍
山西一省显新貌,哑
无话不谈,炎
无人作伴更宁静,平
月下湖边有鸟鸣,涓
全凭点滴集资财,金
此文已变更新一下,改
有了白反而黑,七
患得患失忠心变,忡
东西南北皆逢春,楞
盛名之下大改观,盒
言而无信一定失败,乖
叶动心不动,思
两人乱跑丢了一,肉
拆开重组整十两,柄
力争二人巧变化,伤
元首见首相,末
没有心情见旁人,倩
茶在壶中无人赏光,荣
堆土为坟,文
早作变更好,吉
岁末重逢人变样,侈
梦中不见葬花人,夕
一提升就摆平,半
默许,午
雾中点点透残红,终
人在异乡结同心,给
或轻于鸿毛或重于泰山,毙
残月破云照西湖,泓
句中没有顿号,勺
不是反话,证
六根清静无用心,丹
没有夸大损失,亏
少找点借口,拽
闯王纵马到江边,润
员工一走才知珍,贵
到菜园可见张青,子
先生一见真英俊,帅
种花要除草一人来一刀,花
小心一点无火灾,守
一口干真的干,旱
一直去送出关,运
雄纠纠气昂昂藏獒怀中抱女郎,威
解剖木乃伊,剧
一人四十多一点儿,莽
许配千金得半子,胥
千古一绝,估
十载又十载同心上前来,鼓
六十一载皆艰苦,辛
代购前要借笔款,货
弟子刚先走,倒
只见秋千人不见,炽
闻乡音泪洒村前,湘
阶前残花朝前落,荫
二人睁两眼,夹
一点一点凝结成,疑
人生没有单行道,件
东西放好买一束,嫩
见了馒头就叫馍,莫
厂内养狗讨人嫌,厌
左看二十日右看三十天,朝
千日改革成功,但
两万里,董
原天下有情人都成眷属,答
进言献计为改革,协
多一人有肉吃,内
又有耳朵又有嘴就是说话不干脆,嗫
夜幕降临到贵州,今
失利之后先隐蔽,稳
除去撇就没了,丢
出名后十分小心,列
今为山水伴,涔
大婶不安一人走,申
一点一点学,字
口角在此发生,嘴
相差一半少来抬杠,着
旧貌换新颜,旦
女儿要走,西
笙箫四重奏,欲
小子猜得出色,狲
围住广寒宫,胞
三十日内完成手稿,草
指头轻微触电,摩
保证不说话,跑
红颜薄命,妖
此乃人算不如天算也,些
人到几时有钞票,佩
四十口登日走,遭
损失不小,夸
一次参赌人被抓,资
握别,扮
左边不出头右边歪歪头,杯
添上一口就是我,五
调整火力做假像,伪
慷慨解囊,锄
柴米油盐都不是,罪
冷坑尽是土,坑
好像读四声,似
凑满一百万,跳
先乘后加最后得八,杀
力字加两点不作办字猜若是猜为字还未猜出来,协
引进人才成大业,亚
昔日一别今相聚,芩
生有一女是昭君,墙
抽刀必割,害
一点爱心献父兄,宿
有心入门难透气,闷
还不去拿一元来,远
石变色,白
差一点祸从口出,衲
非常六加一,辛
妇女节有雨,雪
一字入句十日思,旬
浦东十分需要人,傅
与水交融如胶漆,膝
一一到此下面,些
转眼即黄昏,罗
百里不见一架梯子,面
黎明即起,章
泰山,仗
雾中唯见桥头露,条
一点一滴总如意,竟
附耳上来,付
盲目行动心变态,忙
南望杏枝又落叶,琳
好好学里面都有,子
早有茅头,草
来日设宴,安
年已古稀,车
三点到云南,真
把手放下,巴
一旦变心成永远,恒
内人整容倾倒上海,贯
连日有雨难出摊,擂
一百减一不等于九十九,白
仙人无踪影,山
您既不安心干脆不留人,尔
莫让杜兴做鬼脸,儿
里面是大的外面是方的,因
千古结缘一条心,恬
假骨文,故
赞美乡下变了样,绔
少女节食人消瘦,娘
飞砂走石,少
先写上后写下,告
点点滴滴成百万,儿
小桥流水风中没,沉
江帆半隐留个影,筑
四点二十分,注
人人主动援西部,醉
开山造田有所图,画
做人要宽心虚心,花
一个人两个人三个人,众
加上了方的反而成了圆的,员
第二次借钱,欢
加上了嘴巴反而说不出,亚
不计前嫌广结交,廉
恰似无风下半旗,卜
全力以赴方成功,工
塔前破寺有风声,封
三十而立大有奔头,卉
有女结婚,昏
田里有人,困
不负一生心,志
二人正好远行,征
压变形了,庄
孔子出游载月归,甩
此人来头可不小,大
此字只一个二字边下躲,些
门内生活日子不错,阔
将来一人扣十分,奖
背后有儿总开心,脱
一字八条腿中间一张嘴,井
日里有一横猜目可不行,量
用心画下来,击
左边是古人右边是古文撇去正中间立即变文人,做
即位之初大赦天下,千
用心一听是风声,丰
小雨连宵打叶声,液
一直真心来成全,人
八字相合可成亲,辛
端午节后出生,产
顾影明月下,昌
若是出错倒放了真凶,网
三方合作献真心,晶
眼前只是一男儿,盯
默记在心上,忌
传失其人,专
爱心十分打百分名列前茅第一名,冠
人人争先促四化,欲
沿水漂来一叶舟,船
鄂赣毗邻处,障
照着妖头就是一钉耙,耍
东西南北燕齐飞,口
妇女都去减三围,一
口令传左右一点无作用,吟
二山紧相连猜出不着边,击
三无产品,晶
出口成句摆棋盘,局
领导条子不顶用,揩
够十两就行,近
两点前来表决心,快
晴空一色光闪闪,晃
变相回扣放桌下,操
脱贫之后人变样,份
又生一女心生气,怒
两人相处格外大方,徊
关掉阀门人再走,戈
竹篮打水个个空,滥
十分用心细思量,忖
仅仅少了两人,双
左边加一半右边减一半,喊
真心牵挂意中人,春
人格为重,徊
秋月当头闻箫声,销
见了还依旧,阳
一到室内就讲话,云
行人弓箭各在腰,夷
一直在作证,让
方寸有一点点乱,河
三十年河西,泄
残花片片隐叶中,哔
拳头不认人,誊
半掩娇身半露羞,妞
抓大放小搞改革,买
一一出击错失先机,岚
河畔亮灯时,酒
且在乡下搞改革,组
抛开个人上下一心,志
两点开会,并
周边游少古迹,一
二人着手抓重点,拳
放飞心情迎来日出,晴
土生土长成佳丽,俪
戒烟之后夜无梦,焚
要虚心不自负,皂
去电表示祝贺,庵
高原相逢诉乡音,厢
上海中转,电
调动人员要开会,勋
纵然离开要大度,奔
屋旁自有读书声,舒
人人为改革出力,伙
得人和者得天下,一
影后全靠换新妆,珍
旧日已逝未来远,丫
大人不在要小心,丁
一一上台作演讲,云
警告,诡
老赵出走奔异乡,绡
小心别犯错,父
对内改革好带头,婴
画中秋色雁阵飞,锱
有史以来便这样,仁
只一会转了四分之一圈,冲
未吐一字泪先流,相
正式开工,武
两天两夜紧相连,眵
人算不如天算,二
罪名除后得心宽,萝
西边有水,洒
有财无才苦折腾,喷
从五行分析,奏
适当出口,迁
午时风向偏东,驱
退堂前休要入内,堡
查出木马一一清除,吗
交大附中不算大,佼
男生太多,妙
多少个夜晚,夕
湖南乡音,湘
兄弟一一得晋升,提
家里卖猪存了一点人民币,宰
个个争先猜灯谜,彪
掉头走不后悔,悼
明日要去听音乐,月
酉时日落见星星,尊
三顾足见备苦心,堤
日落之时夺丰收,寿
外戚除尽汉分西东,淑
不惑之年居高楼,置
十一假日游人无数,暇
西湖雪晴日落时,浔
秋色笼四方,钿
给水给电配套上,淹
到后来必有后福,副
清闲之中来市集,闹
刚一接触就变坏,夕
昨夜西楼帘半掩,榨
脚趾头动,啃
红旗一举号声响,郝
休闲中心改旧貌,闸
小心翼翼伴皇上,泉
取前十号,聘
高低音调八人和,煜
哭后对方闻泣声,器
真是无头无尾又无边,三
甩掉尾巴就能使它,用
积少只为多,移
会上双方一致想想实在可笑,哈
身居数职不贪占,廉
独自无心对黄昏,囱
揭发坏人坏事,靠
老鼠上钩,孔
有言在先忘不了,己
服装进口,哀
一日一曲听潮声,曹
父王翘起八字胡,釜
刃,召
车一进三,阵
高堂牵挂儿子心,光
十分开心人相会,奔
北方有人来献计,浒
品茶之后游西湖,澡
用心改革方能成,周
争先恐后去当头,急
吓得松了口有点声音变,卞
兰开二度结同心,豆
走到右边叫声舅,赳
妇科一半看中医,矮
不到最后不罢休,取
天干五行居四位,钉
一一去掉坏现象,环
开始向后仰,印
雄心不减,什
少女原是公瑾妻,娇
地位一变他离去,垃
人人同心搞改革,使
浪人回头是岸,食
广西民族服饰,装
空匣藏箭,医
添得酒后香四溢,享
四处贴金多半没用,锣
不在北京在南京,小
夜半桥旁月正圆,脖
瓜前李下变了样,孤
一直向前莫后退,借
读书还须我出手,抒
三十天夺得锦旗,阴
一日失去不回来,否
不要大变但求小改,买
帽儿十分合适,守
和尚,侍
虽已七十有劲头,轻
狗发脾气,狄
有女上前来助威,戌
不见背后,北
带头改革天下为先,奔
重点主要搞改革,汪
三份点心慢慢尝,品
首先乡乡起变化,兹
小心无大错,父
万紫千红闻燕声,艳
廿一中聚会,革
势如破竹,个
有声有色,黯
拆东补西一点没用,祈
不顾白头要进取,最
但求少一点便是,水
老孙头来了笑声扬,孝
醒来之后月西移,腥
有儿有女有兄妹,味
四周山色笼雾中,备
只差两点到黄昏,名
六人相聚出点子,灭
撕掉两边开口吹,欺
一剪寒梅自吟诵,宋
多心成积习,贯
一人正在花前,奔
排行老八却是老大,王
山水变样别后逢,剥
船尾不见老汉在,艘
独先来者是八戒,猪
转干一直有重点,壮
耳眼心口一齐到,聪
辛苦半生添白头,辞
个个见了笑开花,夭
注册没有一点水分,珊
九字不出头,杂
昔日已去今翻身,开
琢玉无成安可补,嫁
西服脱下挂前边,报
另有变动传佳音,加
拆东墙补西墙,圭
山上还有山不作出字猜,岳
网络出错各分散,纲
古币,错
骑马可去,大
一多半变红了,殊
竹短草长入目来,算
厢外亭后听声传,厅
让弟弟坐,竞
又回到村里,树
雨润横山妆素颜,雪
人若进化更识理,伦
台前退到幕后,吊
要改旧貌山必移,画
九九归一,本
有心表态,太
滴泪直到梦尽头,外
出言有误听无声,吴
东川西川尽归玄德,剂
取经先看西游记,纪
一赊再赊知多少,欺
这边一直到田那边一直用全,明
明星胜出有后台,唱
到达陕西,臻
待到秋后续前缘,终
大会变小小会变大,买
乍看一人不足其实成双同行,伴
宁愿掉头不低头,抵
人去即可,何
前后有狗谁先进去,狱
大海边乱设厂,痒
竭泽而渔终有日,鲁
盛名之下变化大,盒
南面有条狗好物送你手,献
三人留下两个,僵
文不像文武不像武一经凑合有文有武,戏
六人不足八人有余,灭
勾结金军全军覆没,钩
起初是在最下面,趣
老爸的意思是小心没有错,父
自小两人合我意,余
单骑救阿斗,动
初冬叶始红,络
共聚江西,洪
打乱笔画巧安排,克
七上八下叶参差,轵
说三道四早有耳闻,皂
得天下而附之,达
垂头坐下没心思,重
携手共为把身翻,拼
何必又牵一人作伴也,倚
丢头去尾,么
头戴破帽来购物,买
临别露一手,捌
名声若日月,明
会走还须人帮助,运
十分佩服,衬
排名最后枉费工,末
拙作结尾十分差,掘
再三出错,交
雨一下点点滴滴溅开,巾
父归川东,爸
鱼上勾一扯溜走,龟
虽分开有钱来,蝉
先人后己,俄
空山幽兰一一开,兹
不贪绝色不贪金钱,线
一点不出头,术
水中一现是男人,丁
几多错误无人信,讽
双双结合待吉时,缀
职位调整心牵挂,聪
对一半又否定,寸
涉黑即罢官,出
山上山下绿草茵茵,茁
假日无人得空闲,暇
添二就是字,足
春阴秋不暖,秦
家中着火猪走失,灾
财色兼收后不正,负
始乱终弃声声诉,升
十分高大既抢又霸,夺
分居独立,辟
回来坐下转平安,墙
苦为改革拼在前,描
有口水就死不了,千
入穴行窃,切
革新有功,勤
莫要大调整,借
尽释前嫌,兼
刚出差错就换人,则
